plaque6,,plaque5,,plaque4,,plaque3,,plaquenoire,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2442,75.44766235,2442,71.31106567,2442,73.35636902,2442,74.12213898,2442,5.845229149,
2441,75.46875763,2441,71.34803009,2441,73.38725281,2441,74.15174866,2441,5.843972683,
2440,75.46031189,2440,71.2933197,2440,73.35371399,2440,74.13617706,2440,5.872617722,
2439,75.49201965,2439,71.33641815,2439,73.35675812,2439,74.16287994,2439,5.840883255,
2438,75.44561005,2438,71.24940491,2438,73.29891968,2438,74.06912231,2438,5.892320156,
2437,75.42351532,2437,71.26931763,2437,73.31638336,2437,74.08081055,2437,5.806602001,
2436,75.42823029,2436,71.29232025,2436,73.31124878,2436,74.06476593,2436,5.777227879,
2435,75.475914,2435,71.28686523,2435,73.32021332,2435,74.10431671,2435,5.870277882,
2434,75.48331451,2434,71.2911911,2434,73.29318237,2434,74.11740112,2434,5.84504509,
2433,75.43920135,2433,71.24614716,2433,73.29779053,2433,74.05558014,2433,5.781881809,
2432,75.39393616,2432,71.26863861,2432,73.31550598,2432,74.10308838,2432,5.847999096,
2431,75.43592834,2431,71.25707245,2431,73.3157196,2431,74.10958862,2431,5.891454697,
2430,75.43364716,2430,71.23144531,2430,73.29214478,2430,74.06616211,2430,5.793565273,
2429,75.41527557,2429,71.21063232,2429,73.26306152,2429,74.10495758,2429,5.886645317,
2428,75.400177,2428,71.20415497,2428,73.26415253,2428,74.09259796,2428,5.792048454,
2427,75.38768768,2427,71.15872955,2427,73.25553894,2427,74.03912354,2427,5.816301346,
2426,75.39008331,2426,71.16065979,2426,73.25244904,2426,74.04921722,2426,5.805663586,
2425,75.39082336,2425,71.1723175,2425,73.21504211,2425,74.04301453,2425,5.802967548,
2424,75.42900848,2424,71.14792633,2424,73.21624756,2424,74.03384399,2424,5.830861092,
2423,75.39581299,2423,71.1386261,2423,73.19647217,2423,74.03427124,2423,5.838560104,
2422,75.42167664,2422,71.11162567,2422,73.26353455,2422,74.02524567,2422,5.859267712,
2421,75.37176514,2421,71.12957001,2421,73.19326782,2421,74.00170898,2421,5.842958927,
2420,75.38189697,2420,71.09927368,2420,73.16989136,2420,74.00291443,2420,5.879200935,
2419,75.3788147,2419,71.0893631,2419,73.17642975,2419,73.99546814,2419,5.871387959,
2418,75.3490448,2418,71.09040833,2418,73.16699219,2418,73.98384094,2418,5.836538792,
2417,75.34507751,2417,71.03335571,2417,73.12889099,2417,73.96696472,2417,5.805573463,
2416,75.35914612,2416,71.0723877,2416,73.16336823,2416,73.95106506,2416,5.831556797,
2415,75.39146423,2415,71.04917908,2415,73.15277863,2415,73.97769165,2415,5.793440342,
2414,75.32704163,2414,71.02227783,2414,73.13603973,2414,73.961586,2414,5.851026058,
2413,75.33872223,2413,70.97599792,2413,73.12759399,2413,73.95822144,2413,5.868565083,
2412,75.36142731,2412,71.02046967,2412,73.1364212,2412,73.95798492,2412,5.864195824,
2411,75.30924988,2411,71.0032196,2411,73.13440704,2411,73.93396759,2411,5.836807728,
2410,75.29478455,2410,70.96054077,2410,73.13171387,2410,73.92301178,2410,5.829653263,
2409,75.31455231,2409,70.95723724,2409,73.10462189,2409,73.94749451,2409,5.884311676,
2408,75.29104614,2408,70.93340302,2408,73.1247406,2408,73.90976715,2408,5.827130318,
2407,75.33566284,2407,70.95645905,2407,73.11851501,2407,73.95154572,2407,5.851887703,
2406,75.28282166,2406,70.91273499,2406,73.09332275,2406,73.92006683,2406,5.829531193,
2405,75.29270172,2405,70.91313934,2405,73.06604767,2405,73.88301849,2405,5.85728693,
2404,75.2738266,2404,70.87741852,2404,73.08354187,2404,73.86795807,2404,5.813325405,
2403,75.27233124,2403,70.91891479,2403,73.0680542,2403,73.89990997,2403,5.82493639,
2402,75.2494278,2402,70.84141541,2402,73.04293823,2402,73.89764404,2402,5.831169605,
2401,75.27760315,2401,70.84158325,2401,73.04737091,2401,73.89585114,2401,5.842498302,
2400,75.24186707,2400,70.8205719,2400,73.02651215,2400,73.8425293,2400,5.813819408,
2399,75.24040985,2399,70.81732178,2399,73.02837372,2399,73.87297821,2399,5.815581799,
2398,75.22163391,2398,70.80661011,2398,73.03031921,2398,73.86127472,2398,5.819921017,
2397,75.25291443,2397,70.79345703,2397,73.02105713,2397,73.86920929,2397,5.822158337,
2396,75.21347046,2396,70.7387619,2396,72.9890976,2396,73.83430481,2396,5.854782581,
2395,75.24068451,2395,70.77304077,2395,72.98203278,2395,73.85494232,2395,5.858608723,
2394,75.20072937,2394,70.75061798,2394,72.95426178,2394,73.85218048,2394,5.822717667,
2393,75.18978119,2393,70.70429993,2393,72.96424866,2393,73.78956604,2393,5.801885605,
2392,75.21674347,2392,70.71850586,2392,72.95326233,2392,73.8259964,2392,5.868695259,
2391,75.1930542,2391,70.68643951,2391,72.94200897,2391,73.80393219,2391,5.828623772,
2390,75.19264221,2390,70.637146,2390,72.94013214,2390,73.79942322,2390,5.82130909,
2389,75.17756653,2389,70.64634705,2389,72.9136734,2389,73.76661682,2389,5.84263134,
2388,75.15934753,2388,70.60782623,2388,72.89987946,2388,73.79528046,2388,5.86632061,
2387,75.13846588,2387,70.61406708,2387,72.8898468,2387,73.76635742,2387,5.834093094,
2386,75.18053436,2386,70.60692596,2386,72.90245056,2386,73.78996277,2386,5.836808205,
2385,75.16404724,2385,70.596138,2385,72.89995575,2385,73.77081299,2385,5.805496693,
2384,75.10960388,2384,70.57132721,2384,72.8529892,2384,73.73462677,2384,5.799325943,
2383,75.11709595,2383,70.53217316,2383,72.84294128,2383,73.71638489,2383,5.805657864,
2382,75.1190033,2382,70.50905609,2382,72.82823944,2382,73.72392273,2382,5.831655502,
2381,75.11793518,2381,70.50272369,2381,72.85726929,2381,73.73710632,2381,5.805696487,
2380,75.10125732,2380,70.47988129,2380,72.83599091,2380,73.71003723,2380,5.835658073,
2379,75.10089111,2379,70.46896362,2379,72.81012726,2379,73.68743896,2379,5.836720943,
2378,75.11573792,2378,70.48993683,2378,72.83760071,2378,73.72703552,2378,5.807824612,
2377,75.06339264,2377,70.45092773,2377,72.79885864,2377,73.6920166,2377,5.817094326,
2376,75.08281708,2376,70.43139648,2376,72.79182434,2376,73.6789856,2376,5.808199406,
2375,75.05508423,2375,70.39182281,2375,72.78353119,2375,73.62982941,2375,5.852378368,
2374,75.05153656,2374,70.39083099,2374,72.78689575,2374,73.65591431,2374,5.827445507,
2373,75.04164886,2373,70.37179565,2373,72.77059174,2373,73.6652298,2373,5.823399067,
2372,75.04846954,2372,70.3837738,2372,72.7687912,2372,73.67662811,2372,5.818017483,
2371,75.06256866,2371,70.35197449,2371,72.78942871,2371,73.66199493,2371,5.857731819,
2370,75.04088593,2370,70.34305573,2370,72.73698425,2370,73.6255722,2370,5.840685368,
2369,75.01609039,2369,70.28720093,2369,72.71180725,2369,73.63349915,2369,5.83641386,
2368,75,2368,70.29159546,2368,72.71514893,2368,73.6007309,2368,5.806190014,
2367,75.03276825,2367,70.26289368,2367,72.68350983,2367,73.59862518,2367,5.847783089,
2366,74.99365234,2366,70.23876953,2366,72.7111969,2366,73.59256744,2366,5.827611923,
2365,75.01428986,2365,70.22073364,2365,72.69271088,2365,73.60536194,2365,5.805282593,
2364,74.96173859,2364,70.19496155,2364,72.67454529,2364,73.60726929,2364,5.794466496,
2363,74.99911499,2363,70.20677185,2363,72.64730835,2363,73.62478638,2363,5.811819553,
2362,74.96570587,2362,70.15483093,2362,72.65881348,2362,73.55813599,2362,5.803268433,
2361,74.95878601,2361,70.15837097,2361,72.66823578,2361,73.56285858,2361,5.815122604,
2360,74.97262573,2360,70.11921692,2360,72.67541504,2360,73.54708862,2360,5.822061539,
2359,74.9148941,2359,70.09703827,2359,72.60939789,2359,73.51776886,2359,5.81652689,
2358,74.95454407,2358,70.0812149,2358,72.60974884,2358,73.52276611,2358,5.826346397,
2357,74.94510651,2357,70.05615234,2357,72.58524323,2357,73.52869415,2357,5.83317852,
2356,74.92930603,2356,70.02679443,2356,72.58070374,2356,73.51760101,2356,5.834017754,
2355,74.89138794,2355,70.01472473,2355,72.56891632,2355,73.50993347,2355,5.797046661,
2354,74.87438202,2354,69.97033691,2354,72.53713989,2354,73.48047638,2354,5.829860687,
2353,74.90776825,2353,69.98420715,2353,72.51816559,2353,73.46876526,2353,5.813783646,
2352,74.90500641,2352,69.96639252,2352,72.57777405,2352,73.49542236,2352,5.854525089,
2351,74.87363434,2351,69.92676544,2351,72.53787231,2351,73.47096252,2351,5.82288456,
2350,74.85380554,2350,69.87226105,2350,72.50854492,2350,73.44230652,2350,5.791045189,
2349,74.83881378,2349,69.88274384,2349,72.48891449,2349,73.45210266,2349,5.796037197,
2348,74.8372879,2348,69.82995605,2348,72.50950623,2348,73.43827057,2348,5.774056435,
2347,74.82649231,2347,69.77754974,2347,72.45756531,2347,73.40391541,2347,5.808137894,
2346,74.81570435,2346,69.78401184,2346,72.47968292,2346,73.41305542,2346,5.817506313,
2345,74.82711029,2345,69.75482941,2345,72.45563507,2345,73.39234161,2345,5.829521179,
2344,74.8218689,2344,69.76670837,2344,72.44683838,2344,73.40849304,2344,5.811394691,
2343,74.78780365,2343,69.66731262,2343,72.39860535,2343,73.36521912,2343,5.777498245,
2342,74.78881836,2342,69.67530823,2342,72.42198944,2342,73.38213348,2342,5.809980392,
2341,74.72802734,2341,69.62238312,2341,72.39310455,2341,73.39203644,2341,5.797393799,
2340,74.74172211,2340,69.56781769,2340,72.36870575,2340,73.32818604,2340,5.765110016,
2339,74.74585724,2339,69.55575562,2339,72.36233521,2339,73.34719849,2339,5.798858643,
2338,74.71921539,2338,69.54380035,2338,72.36597443,2338,73.33086395,2338,5.8051157,
2337,74.71495819,2337,69.46159363,2337,72.31351471,2337,73.32356262,2337,5.781041622,
2336,74.69799042,2336,69.44750214,2336,72.3141861,2336,73.30085754,2336,5.781211853,
2335,74.68704224,2335,69.4260025,2335,72.29381561,2335,73.30345917,2335,5.796040058,
2334,74.67097473,2334,69.35799408,2334,72.29719543,2334,73.27026367,2334,5.789204121,
2333,74.64483643,2333,69.33875275,2333,72.26586151,2333,73.27597046,2333,5.788739681,
2332,74.62405396,2332,69.29599762,2332,72.25283051,2332,73.24639893,2332,5.781424046,
2331,74.63090515,2331,69.2617569,2331,72.24854279,2331,73.20868683,2331,5.807919979,
2330,74.62216187,2330,69.20145416,2330,72.24627686,2330,73.24750519,2330,5.743551254,
2329,74.57861328,2329,69.1927948,2329,72.21846771,2329,73.2278595,2329,5.736374378,
2328,74.61652374,2328,69.11962891,2328,72.16649628,2328,73.18338776,2328,5.786725044,
2327,74.55310059,2327,69.10108185,2327,72.164711,2327,73.16201782,2327,5.703831196,
2326,74.55183411,2326,69.05440521,2326,72.13806152,2326,73.17901611,2326,5.794692039,
2325,74.54811859,2325,69.0473938,2325,72.15745544,2325,73.1778717,2325,5.738408566,
2324,74.57337952,2324,68.99465179,2324,72.158638,2324,73.16022491,2324,5.771048546,
2323,74.53629303,2323,68.95407104,2323,72.11565399,2323,73.12026978,2323,5.78213501,
2322,74.52519989,2322,68.89161682,2322,72.11397552,2322,73.11698151,2322,5.743072033,
2321,74.50710297,2321,68.85961914,2321,72.123909,2321,73.12151337,2321,5.767791748,
2320,74.52046204,2320,68.83339691,2320,72.07601929,2320,73.11270142,2320,5.750395298,
2319,74.47183228,2319,68.75684357,2319,72.06773376,2319,73.07269287,2319,5.750000954,
2318,74.46862793,2318,68.72122955,2318,72.05782318,2318,73.06960297,2318,5.737404823,
2317,74.44946289,2317,68.68083191,2317,72.01053619,2317,73.05899048,2317,5.744460583,
2316,74.42388153,2316,68.66644287,2316,72.01193237,2316,73.04229736,2316,5.705247402,
2315,74.39516449,2315,68.61144257,2315,72.00466156,2315,73.04590607,2315,5.73409605,
2314,74.41291809,2314,68.61143494,2314,71.97055817,2314,73.05289459,2314,5.726042747,
2313,74.41590118,2313,68.55099487,2313,71.99195099,2313,73.02735138,2313,5.733281136,
2312,74.36863708,2312,68.51460266,2312,71.9354248,2312,72.99017334,2312,5.720837593,
2311,74.39707184,2311,68.46255493,2311,71.97310638,2311,73.03623199,2311,5.738624096,
2310,74.36750031,2310,68.46810913,2310,71.94496155,2310,73.00263214,2310,5.716589928,
2309,74.384758,2309,68.42862701,2309,71.93267822,2309,73.02584076,2309,5.70560503,
2308,74.36949921,2308,68.38778687,2308,71.90216827,2308,72.96121979,2308,5.728679657,
2307,74.33189392,2307,68.32780457,2307,71.89389801,2307,72.95158386,2307,5.719435692,
2306,74.33097076,2306,68.28548431,2306,71.87949371,2306,72.9578476,2306,5.673870087,
2305,74.31060028,2305,68.21764374,2305,71.82125092,2305,72.91220856,2305,5.720611095,
2304,74.33959961,2304,68.24600983,2304,71.8295517,2304,72.93846893,2304,5.699692726,
2303,74.26865387,2303,68.17579651,2303,71.830513,2303,72.89356995,2303,5.671712875,
2302,74.251297,2302,68.14329529,2302,71.80331421,2302,72.90897369,2302,5.699459076,
2301,74.25770569,2301,68.08964539,2301,71.83296967,2301,72.8865509,2301,5.715438843,
2300,74.25086212,2300,68.07380676,2300,71.78271484,2300,72.86559296,2300,5.740919113,
2299,74.27063751,2299,68.05922699,2299,71.76187897,2299,72.87097931,2299,5.731195927,
2298,74.23426819,2298,67.99281311,2298,71.77819824,2298,72.85197449,2298,5.691816807,
2297,74.27448273,2297,67.98809052,2297,71.77270508,2297,72.87988281,2297,5.717653275,
2296,74.22048187,2296,67.95695496,2296,71.770401,2296,72.842659,2296,5.683477402,
2295,74.19231415,2295,67.87356567,2295,71.68847656,2295,72.78825378,2295,5.675876617,
2294,74.18803406,2294,67.82009888,2294,71.67388916,2294,72.80711365,2294,5.693393707,
2293,74.2148056,2293,67.81443024,2293,71.68979645,2293,72.81995392,2293,5.728452682,
2292,74.17469788,2292,67.79776001,2292,71.69816589,2292,72.79816437,2292,5.699599743,
2291,74.21296692,2291,67.77581787,2291,71.69564819,2291,72.82294464,2291,5.689805984,
2290,74.15226746,2290,67.72611237,2290,71.67218781,2290,72.81606293,2290,5.656882286,
2289,74.18479919,2289,67.73933411,2289,71.6703949,2289,72.78807068,2289,5.696040154,
2288,74.15757751,2288,67.64408112,2288,71.61563873,2288,72.73942566,2288,5.659889221,
2287,74.17308044,2287,67.61418152,2287,71.61716461,2287,72.73014832,2287,5.694443703,
2286,74.15115356,2286,67.61076355,2286,71.62479401,2286,72.73221588,2286,5.683945656,
2285,74.12807465,2285,67.55969238,2285,71.56830597,2285,72.71192932,2285,5.676614285,
2284,74.1418457,2284,67.55652618,2284,71.63011169,2284,72.74402618,2284,5.723787785,
2283,74.11737061,2283,67.48995209,2283,71.60095978,2283,72.69694519,2283,5.688549995,
2282,74.10758972,2282,67.44231415,2282,71.54494476,2282,72.69805908,2282,5.701494694,
2281,74.08621979,2281,67.38948822,2281,71.52799225,2281,72.64596558,2281,5.637728214,
2280,74.06646729,2280,67.38237,2280,71.53059387,2280,72.65345764,2280,5.688663006,
2279,74.08957672,2279,67.34758759,2279,71.51572418,2279,72.69571686,2279,5.687273979,
2278,74.08512878,2278,67.37005615,2278,71.55267334,2278,72.68883514,2278,5.656177998,
2277,74.08432007,2277,67.25955963,2277,71.45545959,2277,72.63973236,2277,5.672488689,
2276,74.04096222,2276,67.23439789,2276,71.46199036,2276,72.63764954,2276,5.626001358,
2275,74.03437805,2275,67.18658447,2275,71.4240799,2275,72.57219696,2275,5.658956528,
2274,74.06867981,2274,67.16428375,2274,71.46316528,2274,72.66127014,2274,5.659519672,
2273,74.02986145,2273,67.1656189,2273,71.42140198,2273,72.58041382,2273,5.701679707,
2272,74.00985718,2272,67.13685608,2272,71.44313812,2272,72.57556152,2272,5.677744865,
2271,73.9894104,2271,67.06495667,2271,71.37136841,2271,72.53089142,2271,5.702780724,
2270,74.03094482,2270,67.09607697,2270,71.39093781,2270,72.56751251,2270,5.69447279,
2269,74.00590515,2269,67.0691452,2269,71.36580658,2269,72.61646271,2269,5.648596287,
2268,73.99546051,2268,67.01013947,2268,71.36639404,2268,72.55297852,2268,5.677987099,
2267,74.01792145,2267,67.00876617,2267,71.34365082,2267,72.50410461,2267,5.642576694,
2266,73.95770264,2266,66.90988159,2266,71.30593872,2266,72.52374268,2266,5.719756603,
2265,73.92505646,2265,66.92241669,2265,71.29613495,2265,72.53644562,2265,5.683390617,
2264,73.96046448,2264,66.90642548,2264,71.29379272,2264,72.51581573,2264,5.659611225,
2263,73.99518585,2263,66.90733337,2263,71.33800507,2263,72.52931976,2263,5.667217255,
2262,73.92343903,2262,66.8723526,2262,71.27732849,2262,72.46920013,2262,5.704109192,
2261,73.90582275,2261,66.79624176,2261,71.24490356,2261,72.43404388,2261,5.580956936,
2260,73.89788818,2260,66.77492523,2260,71.20760345,2260,72.42686462,2260,5.702510834,
2259,73.90468597,2259,66.7593689,2259,71.22195435,2259,72.4234314,2259,5.658433437,
2258,73.89086914,2258,66.78609467,2258,71.21781921,2258,72.43283844,2258,5.668753147,
2257,73.88248444,2257,66.72412109,2257,71.2140274,2257,72.41309357,2257,5.646605492,
2256,73.88449097,2256,66.68577576,2256,71.18188477,2256,72.41309357,2256,5.635469913,
2255,73.86824799,2255,66.68264008,2255,71.19161987,2255,72.40180969,2255,5.627374649,
