Time [s],Power [mW]
0,0.0
1,0.0
2,5.586891207392384
3,7.148081497275177
4,8.03786912385776
5,8.625194570109375
6,9.116144534594696
7,9.369272123076936
8,9.604238430595265
9,9.90994346830259
10,9.984222262041266
11,10.152509657591697
12,10.280555121427529
13,10.365465277533023
14,10.444452102921085
15,10.501084517857775
16,10.55786559103901
17,10.64262196977974
18,10.460354774281988
19,10.636669498185633
20,10.676756712747682
21,10.720200013776457
22,10.729278493877924
23,10.75193942186497
24,10.78939004761646
25,10.787007252531707
26,10.835818796001877
27,10.844578885880107
28,10.867798669386548
29,10.875066221682996
30,10.841625271220646
31,10.887673352912584
32,10.915445802470657
33,10.946538488757813
34,11.008441570730849
35,10.973589908894521
36,10.995574194576676
37,10.98369712359869
38,10.987968053209482
39,10.872037406409543
40,10.964157473100125
41,11.004833257129851
42,10.887084556759788
43,11.02538877139563
44,11.053538488175624
45,11.029010366425746
46,10.736246843811946
47,10.902055955860813
48,10.999056786840898
49,11.010910118720414
50,11.023551930919645
51,11.02655212824042
52,11.029264413764764
53,11.007327975843387
54,11.047121866927398
55,11.030024661114469
56,11.026421935286912
57,11.017408335597827
58,11.043034880336785
59,11.045902413506901
60,11.047194775282126
61,11.020515748835107
62,10.97678315867012
63,10.87383022655105
64,10.863473997854628
65,11.048498362094156
66,11.01972634500948
67,10.892683294422866
68,11.02552471254934
69,11.024863563747074
70,11.002742500677162
71,11.030234245086925
72,11.045801685770815
73,10.921364061935147
74,11.011381875824323
75,11.050379457828228
76,11.024344668428128
77,11.017388791677572
78,11.08028294730025
79,11.040928389795143
80,10.992819121614884
81,11.023140378582507
82,10.982616405859678
83,11.018841140843088
84,11.055090646345025
85,10.870450548727778
86,11.04026523670307
87,10.696636934122665
88,10.949438822753422
89,11.005626938833094
90,10.980862589762003
91,10.978130819712227
92,11.02405855350199
93,11.025060152226242
94,11.001176412705961
95,10.902097426707776
96,11.02597089673273
97,11.002349488963471
98,10.857880757277984
99,10.978257249122453
100,10.971457508885015
101,10.9591233250633
102,10.958065826236748
103,10.993899646937054
104,10.982817913299103
105,10.972718771450939
106,11.011918094402603
107,10.94890817272122
108,10.962282628694332
109,10.982892423988098
110,10.970377888271335
111,10.950979793365374
112,10.961949028335047
113,10.96902827794247
114,10.968955097459656
115,10.931795039126754
116,10.96220806110211
117,10.98724616210292
118,10.86223118546178
119,10.966669339954466
120,10.985784046922642
121,11.02416627804373
122,10.955056885198996
123,10.976366152241983
124,10.962929679317151
125,10.952613998656654
126,10.962236727916096
127,10.973809639270335
128,10.983660893148976
129,10.948845648713762
130,10.628027339922319
131,10.954292481297284
132,10.944777962705825
133,10.949637176291626
134,10.95858308242314
135,10.830925458746744
136,10.996703451970284
137,10.960606990730799
138,10.938942253689692
139,10.947404889970977
140,10.937079044058631
141,10.931234460671229
142,10.960980679498288
143,10.952169650597268
144,10.822760815468861
145,10.970014906515702
146,10.916611959575933
147,10.941534490738615
148,10.958263936639959
149,10.971614938744619
150,10.944426473893596
151,10.960975630067132
152,10.961586186931026
153,10.938277274097551
154,10.946862964396713
155,10.943748223336765
156,10.932021931751896
157,10.937171123283537
158,10.950885632887516
159,10.941954351731898
160,10.94074151666296
161,10.929969465458706
162,10.950068321974774
163,10.928402975219608
164,10.964661892679423
165,10.926826587703426
166,10.95247878321886
167,10.949572937109439
168,10.935025121003166
169,10.927222356768944
170,10.932887997909845
171,10.796102547368326
172,10.926967327971498
173,10.931080770060571
174,10.878621594615348
175,10.766872375049923
176,10.925874883053327
177,10.936647148303525
178,10.924396038892358
179,10.890511317736417
180,10.85706749053572
181,10.88424214285953
182,10.906444074335667
183,10.881991464159887
184,10.911331865130018
185,10.909258152142996
186,10.884278676097722
187,10.897121672407923
188,10.898898412402211
189,10.90342854432408
190,10.887292832908713
191,10.895538329955512
192,10.950724717108665
193,10.896574825294202
194,10.89102314077952
195,10.789868623788974
196,10.871175131746039
197,10.827234299537498
198,10.892950663271801
199,10.894008889425752
200,10.889733074232343
201,10.87968311280127
202,10.955155743559468
203,10.903930455461484
204,10.826896604523906
205,10.899376451140947
206,10.867936885068222
207,10.885279431280068
208,10.931807492499985
209,10.895123244640367
210,10.903588321883264
211,10.753687416590084
212,10.791511537063721
213,10.881157931407325
214,10.849359469670933
215,10.879658272495996
216,10.868529660261947
217,10.868886354177693
218,10.889587651189988
219,10.891789790402635
220,10.863433456834242
221,10.89218781108561
222,10.875040109428777
223,10.70246842636224
224,10.841586209591982
225,10.795024235065558
226,10.853854081115125
227,10.857030762866497
228,10.829919109063486
229,10.862373270348098
230,10.847911242797878
231,10.858935037488422
232,10.860459374567476
233,10.840744571453454
234,10.849892644810097
235,10.71350974027777
236,10.871512615458897
237,10.855495346888327
238,10.844737961793921
239,10.814639787641246
240,10.82834564464191
241,10.88088879910986
242,10.857520802414747
243,10.902938185502713
244,10.831544400360817
245,10.854014566519119
246,10.83523480553097
247,10.83534211961786
248,10.647632557740248
249,10.818733048919176
250,10.858071226030624
251,10.723778537399177
252,10.860316237568586
253,10.800396428172334
254,10.82541120014805
255,10.822185346055957
256,10.755234960802833
257,10.883528581061343
258,10.839469608105611
259,10.875717027206168
260,10.849299095183394
261,10.856815946449842
262,10.841806310082518
263,10.857117037153222
264,10.861121390782014
265,10.714724319874763
266,10.859468183201532
267,10.845575203826787
268,10.828366799942822
269,10.851975154340739
270,10.869562586301068
271,10.847379070580901
272,10.83007920651413
273,10.844324513635257
274,10.858384894200986
275,10.832646557011067
276,10.644316920088073
277,10.738941205915216
278,10.801189909032484
279,10.830473264324784
280,10.848125950547795
281,10.796499712118074
282,10.828904591807492
283,10.743696378584943
284,10.844783531700564
285,10.806370959791048
286,10.855154095345974
287,10.815278818453784
288,10.819719332916824
289,10.856927153699765
290,10.841531183753812
291,10.778487956665249
292,10.823068846781474
293,10.827135151308683
294,10.679767285086806
295,10.871852641286596
296,10.830521336352462
297,10.85242207042151
298,10.811771865531458
299,10.780998081946572
300,10.818739131729819
301,10.806676757290155
302,10.792104691466601
303,10.852483185323592
304,10.651458847315853
305,10.81472359406077
306,10.814193061801323
307,10.9066597509342
308,10.810433982574652
309,10.771448878130178
310,10.770483472895645
311,10.788273626672392
312,10.801337639548237
313,10.7732648558613
314,10.811044613840648
315,10.769459108509645
316,10.79726545055823
317,10.815505105017897
318,10.793911216219382
319,10.818364829754755
320,10.832262757261217
321,10.765199539701742
322,10.80887002565492
323,10.782281122837043
324,10.583862722089513
325,10.790129187172255
326,10.78974024234391
327,10.784953040238848
328,10.790627228960856
329,10.779131242674215
330,10.790619130669418
331,10.792393591905443
332,10.788220800658422
333,10.80072467848324
334,10.654861388026971
335,10.792899893678666
336,10.698985042726132
337,10.795378560687245
338,10.80391927015662
339,10.779411975747866
340,10.837233536883778
341,10.808870717124808
342,10.792942337540525
